iter	Logloss
0	0.6786367398
1	0.665196175
2	0.6548758946
3	0.6462497222
4	0.6384037894
5	0.6301320912
6	0.6213584763
7	0.6133139897
8	0.605474533
9	0.5974670829
10	0.5876655492
11	0.5829052423
12	0.5779157797
13	0.5710250702
14	0.5665867664
15	0.5606428345
16	0.5571964196
17	0.5528931819
18	0.5489188989
19	0.5453636901
20	0.5413052045
21	0.536732018
22	0.5334270228
23	0.5291644442
24	0.5232808108
25	0.5208024396
26	0.5170481526
27	0.5131737288
28	0.5085474849
29	0.506399456
30	0.5020272725
31	0.4981580015
32	0.493905485
33	0.4895020824
34	0.4853644441
35	0.4824376073
36	0.4801569266
37	0.475266326
38	0.4736932265
39	0.4707395126
40	0.4672945527
41	0.4633975558
42	0.459855384
43	0.4569126157
44	0.4531524714
45	0.4496735428
46	0.4460613483
47	0.4428216694
48	0.4410325225
49	0.4371703491
50	0.4340529442
51	0.4311199948
52	0.4277435863
53	0.4233469478
54	0.4208915836
55	0.4181865695
56	0.415239237
57	0.4101261443
58	0.4081914207
59	0.4055097458
60	0.4029494045
61	0.3989647459
62	0.3954159279
63	0.3923490794
64	0.3903033452
65	0.3870536745
66	0.3847944248
67	0.3810594152
68	0.3777630932
69	0.3757282348
70	0.3736843018
71	0.3710324553
72	0.3679759851
73	0.3661290012
74	0.3641942237
75	0.3611519441
76	0.3591823203
77	0.3572975307
78	0.3555187623
79	0.3539601166
80	0.3522456442
81	0.3507663665
82	0.3481496246
83	0.3467282341
84	0.3453501925
85	0.3428816273
86	0.3405309676
87	0.3384014088
88	0.3371136647
89	0.3350843682
90	0.3331410044
91	0.3304948201
92	0.3291107438
93	0.3277086473
94	0.3256394267
95	0.324305898
96	0.3218944843
97	0.3205973988
98	0.3193492906
99	0.3181467967
