Model,Accuracy,Precision,Recall,F1-Score
XGBoost,0.6086956521739131,0.6119565217391304,0.6086956521739131,0.5995423340961098
LightGBM,0.7391304347826086,0.7686335403726708,0.7391304347826086,0.7287784679089028
CatBoost,0.782608695652174,0.801086956521739,0.782608695652174,0.7775235189422831
