Model,Accuracy,Precision,Recall,F1-Score
XGBoost,0.8260869565217391,0.8350586611456177,0.8260869565217391,0.8240802675585285
LightGBM,0.7391304347826086,0.7686335403726708,0.7391304347826086,0.7287784679089028
CatBoost,0.8695652173913043,0.8956521739130435,0.8695652173913043,0.8665141113653698
